user_id,video_id,timestamp
14,3119,1598284858.714
14,4740,1598285020.891
14,2877,1598285455.384
14,9158,1598286034.913
14,4702,1598286440.259
14,1425,1598287238.644
14,1421,1598287389.695
14,9120,1598290071.918
14,6320,1598292253.371
14,4685,1598295574.315
14,3114,1598296417.951
14,9160,1598299834.787
14,1391,1598303105.174
14,4634,1598305933.035
14,3138,1598307090.652
14,9178,1598363539.26
14,1429,1598364203.13
14,4763,1598364252.867
14,10372,1598365168.56
14,9155,1598371360.857
14,1403,1598372697.375
14,6010,1598375144.233
14,4758,1598376823.039
14,3104,1598379987.895
14,1430,1598381538.479
14,6311,1598381807.55
14,1423,1598382181.582
14,4744,1598382615.75
14,2582,1598382958.845
14,4724,1598387616.457
14,1414,1598393245.626
14,5954,1598395589.246
14,10404,1598419965.923
14,1351,1598438245.082
14,6124,1598449873.861
14,7785,1598449885.359
14,6241,1598450148.022
14,1452,1598450424.204
14,10436,1598450913.568
14,10374,1598451064.293
14,9166,1598451780.198
14,1456,1598452881.158
14,1444,1598453183.894
14,1314,1598455584.747
14,7794,1598455662.762
14,1445,1598461019.438
14,4700,1598461331.831
14,6332,1598462490.923
14,4429,1598463317.308
14,6331,1598476129.655
14,3160,1598479212.521
14,10462,1598553245.028
14,3185,1598553300.939
14,4307,1598553859.348
14,4791,1598553949.424
14,4718,1598555041.692
14,4721,1598556335.976
14,4798,1598560528.511
14,9234,1598563294.604
14,3211,1598565540.218
14,5550,1598586323.436
14,2925,1598586382.354
14,3166,1598586626.377
14,3183,1598588283.515
14,7626,1598593190.394
14,2568,1598596536.583
14,1511,1598598771.909
14,6377,1598599747.708
14,1507,1598602909.992
14,7844,1598605314.256
14,8599,1598613123.665
14,1524,1598613905.608
14,4819,1598613947.241
14,10506,1598662880.512
14,4112,1598663460.979
14,1367,1598664476.104
14,1546,1598670327.721
14,7852,1598671205.574
14,3247,1598673660.78
14,5641,1598674713.98
14,1019,1598680467.588
14,10457,1598708608.838
14,1422,1598708809.941
14,10519,1598708914.107
14,9261,1598709437.526
14,1564,1598723760.972
14,6308,1598727944.325
14,1433,1598733051.675
14,10377,1598735650.251
14,4875,1598743498.309
14,3117,1598743647.627
14,1565,1598746596.662
14,7887,1598749871.306
14,3288,1598805004.346
14,3289,1598805017.255
14,3290,1598805361.806
14,3265,1598828837.024
14,7932,1598878195.79
14,4932,1598880374.246
14,6467,1598882139.777
14,3338,1598889389.034
14,6267,1598890504.781
14,6441,1598897749.885
14,3344,1598962336.438
14,10589,1598962413.955
14,10595,1598962475.172
14,6502,1598963689.591
14,4944,1598996027.771
14,4987,1598996457.188
14,1643,1598996508.937
14,7975,1599037887.701
14,1667,1599038440.605
14,3382,1599049887.143
14,4712,1599131751.613
14,5027,1599137073.108
19,1430,1598326655.557
19,10424,1598327824.323
19,3029,1598328490.011
19,4763,1598329172.513
19,10395,1598329559.358
19,9178,1598330524.185
19,3141,1598339751.652
19,6320,1598341293.157
19,803,1598417121.57
19,6330,1598490151.214
19,4758,1598490809.43
19,7799,1598491239.197
19,6241,1598491331.719
19,1444,1598491470.84
19,1456,1598491621.908
19,7794,1598491875.52
19,3160,1598492032.738
19,4669,1598492171.867
19,3166,1598493623.721
19,10377,1598494370.916
19,6332,1598507771.878
19,7775,1598510758.549
19,2564,1598510855.105
19,8845,1598516133.271
19,1445,1598576291.524
19,5954,1598576820.923
19,7820,1598580317.582
19,3211,1598581269.662
19,4806,1598581279.213
19,1452,1598582612.704
19,3183,1598658649.021
19,10506,1598659831.128
19,3127,1598660102.125
19,4858,1598681108.453
19,4847,1598681314.973
19,4416,1598682621.157
19,9261,1598761426.948
19,10519,1598761475.632
19,7887,1598767192.016
19,1565,1598767540.667
19,1564,1598768140.902
19,1546,1598768699.801
19,1511,1598772558.546
19,3041,1598772567.982
19,10462,1598773184.289
19,1422,1598775644.767
19,6467,1598846968.593
19,3293,1598847054.032
19,3290,1598847158.915
19,1583,1598847605.664
19,1612,1598856517.885
19,2955,1598857280.216
19,3307,1598858706.552
19,3344,1598935327.25
19,10589,1598936199.508
19,10595,1598938239.64
19,4932,1598940356.779
19,3265,1598950005.648
19,4987,1599021541.842
19,6533,1599102788.97
19,3074,1599105104.376
19,5027,1599222478.619
19,4680,1599300727.886
19,1414,1599302421.234
21,9178,1598326331.237
21,7778,1598326809.748
21,1430,1598364796.426
21,1402,1598416288.194
21,3141,1598416821.39
21,7785,1598418415.885
21,3132,1598418643.818
21,7788,1598419046.272
21,4763,1598422007.495
21,7799,1598446160.189
21,10436,1598446435.857
21,6330,1598447199.383
21,4775,1598448118.999
21,1456,1598453495.783
21,3127,1598454624.532
21,4758,1598454897.975
21,1434,1598457104.221
21,1433,1598457224.903
21,1452,1598457290.058
21,1372,1598457675.838
21,9159,1598461998.304
21,1444,1598462136.477
21,6332,1598464075.294
21,6010,1598468026.518
21,1439,1598471185.107
21,1445,1598471414.141
21,10395,1598475540.899
21,6259,1598475992.575
21,1393,1598479514.98
21,3166,1598480111.421
21,3160,1598480607.384
21,9166,1598481589.895
21,6241,1598485202.356
21,7794,1598501528.898
21,3151,1598508171.381
21,9199,1598508274.022
21,3185,1598508636.712
21,10374,1598509269.559
21,4739,1598509552.895
21,3114,1598510822.679
21,1314,1598511678.775
21,4738,1598512300.707
21,6331,1598513853.847
21,4663,1598542536.233
21,4798,1598585244.695
21,7820,1598585362.458
21,4810,1598585515.725
21,4806,1598586229.942
21,3211,1598586575.416
21,6346,1598587029.875
21,3183,1598587992.216
21,10462,1598596759.879
21,1511,1598600662.086
21,935,1598601563.834
21,4721,1598602890.965
21,6377,1598603800.086
21,7775,1598608028.615
21,7419,1598609657.669
21,10500,1598626520.701
21,10506,1598670987.422
21,3245,1598671342.944
21,1410,1598672694.321
21,3247,1598692872.994
21,1401,1598693365.625
21,1175,1598693574.055
21,4847,1598694566.646
21,4875,1598709964.192
21,10519,1598715904.784
21,1565,1598769371.032
21,7887,1598769940.381
21,1564,1598774219.676
21,7852,1598781200.801
21,3290,1598786144.996
21,7760,1598786755.865
21,4475,1598789314.648
21,1415,1598789603.175
21,7375,1598793496.165
21,3307,1598848754.231
21,3293,1598853177.51
21,4932,1598853697.938
21,3265,1598858959.237
21,6467,1598866643.209
21,10595,1598938954.156
21,3344,1598942277.174
21,1643,1598942288.068
21,3338,1598943662.098
21,10589,1598947818.981
21,4978,1598948956.176
21,1425,1599021732.888
21,1622,1599028561.902
21,6533,1599043037.6
21,6523,1599105313.661
21,7745,1599122555.483
21,9284,1599210448.459
23,4760,1598304393.965
23,9159,1598306779.365
23,1422,1598307732.333
23,1414,1598307851.111
23,1430,1598312415.947
23,1429,1598313338.031
23,4713,1598315108.947
23,1415,1598332312.071
23,4763,1598334943.601
23,9178,1598337715.995
23,4273,1598356675.619
23,7788,1598391491.728
23,1434,1598399113.755
23,4451,1598402383.119
23,1402,1598421619.519
23,4758,1598422082.437
23,7737,1598422578.307
23,4736,1598480130.358
23,9199,1598482733.142
23,3160,1598486974.819
23,1445,1598503462.325
23,3189,1598503596.129
23,1437,1598503969.6
23,3185,1598505761.081
23,3166,1598509244.765
23,3183,1598516864.046
23,6176,1598516982.937
23,3082,1598562890.364
23,7785,1598565412.878
23,7820,1598575185.418
23,3211,1598590522.184
23,9122,1598598891.435
23,9234,1598602391.024
23,7844,1598619524.767
23,1524,1598619722.744
23,10457,1598620166.719
23,4847,1598620435.733
23,1529,1598627675.211
23,10506,1598654907.037
23,3258,1598736793.17
23,3266,1598742837.934
23,7887,1598822745.898
23,3288,1598822893.44
23,10589,1599086599.666
24,3136,1598313689.038
24,1415,1598314003.593
24,3138,1598314221.496
24,5903,1598315536.87
24,6221,1598320549.73
24,6288,1598326355.537
24,9178,1598326702.493
24,7225,1598330329.317
24,1373,1598330373.513
24,9175,1598330424.622
24,4745,1598330865.942
24,1288,1598334122.935
24,9160,1598404945.289
24,3102,1598420338.191
24,780,1598420468.408
24,6241,1598424374.877
24,1401,1598424946.98
24,1139,1598426338.702
24,3009,1598427148.124
24,1452,1598429194.829
24,6264,1598429237.539
24,1456,1598449683.512
24,6330,1598449991.645
24,7799,1598460972.691
24,4791,1598491769.422
24,1380,1598495919.638
24,9158,1598496544.99
24,10462,1598545399.857
24,4806,1598545480.127
24,7820,1598545559.873
24,4798,1598576243.107
24,4665,1598579436.563
24,3211,1598581687.501
24,3183,1598588093.254
24,4819,1598590233.504
24,4721,1598593657.285
24,10367,1598593801.644
24,4283,1598597723.645
24,3245,1598632172.399
24,10500,1598632250.958
24,10506,1598659002.0
24,1546,1598664351.698
24,4858,1598677350.441
24,3189,1598680349.185
24,1511,1598687057.783
24,9261,1598687699.063
24,6422,1598717484.172
24,3247,1598717742.027
24,1572,1598723166.282
24,1565,1598747053.185
24,7887,1598769024.521
24,3288,1598772688.172
24,3290,1598805215.73
24,9299,1598833250.099
24,7932,1598853651.548
24,7643,1598883272.822
24,9162,1598918026.354
24,3098,1598957570.609
24,4987,1598980017.078
24,3307,1598984750.198
24,3344,1599001787.066
24,7726,1599177060.513
24,6281,1599264396.957
24,1320,1599285206.954
36,6321,1598315437.341
36,1414,1598316610.392
36,3106,1598316841.816
36,9166,1598317002.139
36,3131,1598401908.962
36,1433,1598402731.548
36,1139,1598402901.563
36,9175,1598406983.301
36,8922,1598409799.828
36,1430,1598412657.588
36,4758,1598413043.802
36,4706,1598413647.984
36,1429,1598413986.546
36,2661,1598416694.504
36,3102,1598419661.488
36,1444,1598420544.839
36,3132,1598421339.253
36,1401,1598422561.049
36,7737,1598423201.944
36,6241,1598424917.456
36,10436,1598427803.288
36,7775,1598432130.194
36,1434,1598432188.976
36,3141,1598434904.451
36,7799,1598493357.076
36,9199,1598524266.901
36,1456,1598524600.147
36,1445,1598524894.31
36,10462,1598528662.748
36,6124,1598531335.386
36,3151,1598532396.859
36,1437,1598535231.464
36,6332,1598538894.221
36,6251,1598539633.901
36,4806,1598577697.098
36,3211,1598578431.832
36,6331,1598580182.413
36,4721,1598610407.602
36,10457,1598611343.629
36,6346,1598612391.024
36,1314,1598615822.214
36,6246,1598616666.044
36,9234,1598617987.606
36,10500,1598619996.235
36,1402,1598624510.273
36,1529,1598625233.765
36,10424,1598625845.579
36,3245,1598626966.502
36,4858,1598696401.553
36,9261,1598696665.691
36,3244,1598697590.679
36,4810,1598705235.58
36,3265,1598713406.67
36,9291,1598780768.764
36,3258,1598781113.813
36,3289,1598781546.889
36,1579,1598782168.399
36,3288,1598783212.147
36,1583,1598784215.58
36,3307,1598867615.277
36,3293,1598867662.88
36,10589,1599011880.788
36,6523,1599098682.958
36,10595,1599098980.863
36,1101,1599099629.708
36,1667,1599099987.302
36,1379,1599211503.951
36,7932,1599215233.666
37,4760,1598285391.065
