user_id,item_id,rating,timestamp
00da0024bf1c2340ba478bbf9c135d68,91477,3,2017-08-05
00da0024bf1c2340ba478bbf9c135d68,6437061,3,2017-07-30
00da0024bf1c2340ba478bbf9c135d68,6587879,4,2017-08-16
00da0024bf1c2340ba478bbf9c135d68,12700353,4,2017-07-15
00da0024bf1c2340ba478bbf9c135d68,16160797,3,2017-10-02
00da0024bf1c2340ba478bbf9c135d68,25533076,5,2017-08-12
00da0024bf1c2340ba478bbf9c135d68,29939230,4,2017-09-05
00da0024bf1c2340ba478bbf9c135d68,30145666,3,2017-08-15
00ea9b2b113b8820b6aa7d64eadac428,15749186,4,2017-07-27
00ea9b2b113b8820b6aa7d64eadac428,20698530,3,2017-07-30
00ea9b2b113b8820b6aa7d64eadac428,35247769,5,2017-08-02
027be0744c9b6fbf81f365bc42e29507,19161852,4,2017-09-07
027be0744c9b6fbf81f365bc42e29507,27774758,3,2017-10-11
027be0744c9b6fbf81f365bc42e29507,30831912,3,2017-10-16
0351df2c91022c8c020fdedd210456d6,25694617,3,2017-09-26
037c382333b7084ccee4cdec7401de90,3590,5,2017-07-07
037c382333b7084ccee4cdec7401de90,3682,4,2017-09-13
037c382333b7084ccee4cdec7401de90,10161216,4,2017-09-26
0380d17a6a66e106099431185a08d747,18131,5,2017-09-10
0380d17a6a66e106099431185a08d747,25372801,4,2017-10-12
0380d17a6a66e106099431185a08d747,25526296,4,2017-09-12
0380d17a6a66e106099431185a08d747,28243032,3,2017-08-05
03c4841b4f0b711f5100ca52bedd7fb6,23437156,4,2017-08-03
03d22096e8deb970e46459c23108469d,13129925,4,2017-09-12
04a57c9bbedef911ada089e68294436f,38619,4,2017-08-15
04a57c9bbedef911ada089e68294436f,1811543,4,2017-08-26
04a57c9bbedef911ada089e68294436f,2800905,4,2017-07-05
04a57c9bbedef911ada089e68294436f,4345498,4,2017-09-04
04a57c9bbedef911ada089e68294436f,5391115,4,2017-07-13
04a57c9bbedef911ada089e68294436f,6468666,3,2017-07-13
04a57c9bbedef911ada089e68294436f,6479550,4,2017-09-11
04a57c9bbedef911ada089e68294436f,8559047,4,2017-09-18
04a57c9bbedef911ada089e68294436f,11544421,4,2017-10-05
04e89b17b093e5a1c4a8b036a2716089,3682,3,2017-09-12
04e89b17b093e5a1c4a8b036a2716089,10929432,3,2017-10-19
04e89b17b093e5a1c4a8b036a2716089,14061957,5,2017-07-11
04e89b17b093e5a1c4a8b036a2716089,22299763,5,2017-08-11
0521ab00ba9a0e8c828fcdd84a6ccfc0,8490112,4,2017-08-16
0521ab00ba9a0e8c828fcdd84a6ccfc0,8667848,4,2017-09-23
0521ab00ba9a0e8c828fcdd84a6ccfc0,16143347,4,2017-10-12
05380f3bfc10be0d9fc2d1ccfbf01822,3636,4,2017-09-05
05380f3bfc10be0d9fc2d1ccfbf01822,13214,3,2017-08-19
05380f3bfc10be0d9fc2d1ccfbf01822,9627755,5,2017-08-02
056e04cc7a49909f1a9653ae37e8269c,338691,4,2017-09-27
056e04cc7a49909f1a9653ae37e8269c,462033,4,2017-09-09
056e04cc7a49909f1a9653ae37e8269c,15745753,5,2017-07-16
056e04cc7a49909f1a9653ae37e8269c,16068905,3,2017-07-01
056e04cc7a49909f1a9653ae37e8269c,23125266,4,2017-10-03
056e04cc7a49909f1a9653ae37e8269c,23346377,4,2017-08-12
056e04cc7a49909f1a9653ae37e8269c,29405093,4,2017-07-20
057472705e86f6d88d39fe775022fd23,16343,2,2017-08-28
057472705e86f6d88d39fe775022fd23,1914973,5,2017-09-09
057472705e86f6d88d39fe775022fd23,18080920,3,2017-07-26
057472705e86f6d88d39fe775022fd23,18775247,3,2017-08-03
05819d5c91af438663ff23ea3cfe0d38,10626594,5,2017-08-03
058988d0e50d3386e58619efac539344,20819685,4,2017-07-26
058988d0e50d3386e58619efac539344,23212667,4,2017-08-08
058988d0e50d3386e58619efac539344,28187230,4,2017-09-25
058988d0e50d3386e58619efac539344,32768522,4,2017-09-14
05d5692694f2715e3185a8c22b1d0e8d,1421990,3,2017-07-14
05d5692694f2715e3185a8c22b1d0e8d,2168860,4,2017-08-13
05d5692694f2715e3185a8c22b1d0e8d,3570231,3,2017-09-04
05d5692694f2715e3185a8c22b1d0e8d,5604848,3,2017-09-30
05d5692694f2715e3185a8c22b1d0e8d,11387515,4,2017-09-26
062da78d2f4a399f67dafac3c27eb702,5886881,3,2017-09-25
062da78d2f4a399f67dafac3c27eb702,22557520,1,2017-07-28
062da78d2f4a399f67dafac3c27eb702,30256248,3,2017-07-02
062da78d2f4a399f67dafac3c27eb702,30821598,3,2017-08-24
06c42a7cee43b078eac9dc9b26ab26fa,3367956,3,2017-08-07
06c42a7cee43b078eac9dc9b26ab26fa,18798983,4,2017-09-01
06c42a7cee43b078eac9dc9b26ab26fa,23308084,3,2017-09-26
06c42a7cee43b078eac9dc9b26ab26fa,29283884,4,2017-07-24
06c42a7cee43b078eac9dc9b26ab26fa,29749085,4,2017-09-15
0756acf3bc69631858f888220c980a6a,693016,3,2017-08-21
0756acf3bc69631858f888220c980a6a,12000020,4,2017-07-02
0756acf3bc69631858f888220c980a6a,24120519,4,2017-08-02
0756acf3bc69631858f888220c980a6a,28458598,4,2017-07-13
0756acf3bc69631858f888220c980a6a,29283884,4,2017-08-16
0756acf3bc69631858f888220c980a6a,31931941,5,2017-07-02
0756acf3bc69631858f888220c980a6a,32075662,5,2017-08-15
076e477beebf75d29d0700da7ca879fb,16171291,3,2017-08-16
0770c546b9273ef54de72e909acbc6c4,1268479,5,2017-07-21
0770c546b9273ef54de72e909acbc6c4,20764879,4,2017-08-24
078fc5a392f0d0b54f5b499381304803,18045891,3,2017-08-20
078fc5a392f0d0b54f5b499381304803,18775247,3,2017-08-28
0842a3ab06f46aaf3521b4f9bf6995aa,30075802,4,2017-10-02
085dcaf006ca902f9ea0254e64fe1d70,32075671,4,2017-09-01
0948b5623cd85e6fc259c2dfb60bded0,30165203,3,2017-07-09
09f8976f534ee56ee654914672fd9c77,11431896,5,2017-07-28
0a1a6f2db07552d89889ff87a753e75d,23228,4,2017-09-19
0a1a6f2db07552d89889ff87a753e75d,17563080,4,2017-08-10
0a1a6f2db07552d89889ff87a753e75d,23308084,5,2017-08-27
0a1a6f2db07552d89889ff87a753e75d,28260587,5,2017-09-05
0a2576a46915d054526b706bcdcd2a37,10987,4,2017-08-18
0a2576a46915d054526b706bcdcd2a37,7896527,5,2017-10-09
0a2576a46915d054526b706bcdcd2a37,18243700,4,2017-10-02
0a2576a46915d054526b706bcdcd2a37,25644601,5,2017-10-10
0a2576a46915d054526b706bcdcd2a37,28678119,4,2017-09-13
0a2576a46915d054526b706bcdcd2a37,29519514,5,2017-09-18
0a2576a46915d054526b706bcdcd2a37,29519517,4,2017-09-26
0a2576a46915d054526b706bcdcd2a37,33280872,5,2017-10-06
0a7120e044709d367df170b1752a4e96,28458598,4,2017-07-18
0a7120e044709d367df170b1752a4e96,30555488,4,2017-09-09
0aae2cf2022259400ae63632e08ec235,15790842,4,2017-08-12
0aae2cf2022259400ae63632e08ec235,18166936,4,2017-08-04
0acaf3062ed608e708abdb7d516cf6a2,237209,4,2017-08-28
0acaf3062ed608e708abdb7d516cf6a2,1914973,4,2017-10-04
0acaf3062ed608e708abdb7d516cf6a2,10866624,2,2017-07-20
0acaf3062ed608e708abdb7d516cf6a2,26156987,3,2017-07-03
0accdcb86f88751760cf3fcd04a44816,1,5,2017-10-16
0accdcb86f88751760cf3fcd04a44816,2,4,2017-10-12
0ba6d1139454c0d11369703bed53a9d6,68429,4,2017-09-01
0ba6d1139454c0d11369703bed53a9d6,10054335,4,2017-10-09
0ba6d1139454c0d11369703bed53a9d6,30555488,5,2017-09-19
0beb39fd24c94477c293c52c34010a36,20983362,4,2017-07-15
0beb39fd24c94477c293c52c34010a36,21979832,3,2017-08-31
0beb39fd24c94477c293c52c34010a36,25756328,3,2017-10-24
0beccbf3964acb0abd575211602e9ea0,18304322,5,2017-09-26
0beccbf3964acb0abd575211602e9ea0,32796253,3,2017-08-03
0c154d3717b690fbf8ff0446af3e2e18,17564519,5,2017-09-26
0c154d3717b690fbf8ff0446af3e2e18,23367261,5,2017-09-06
0c154d3717b690fbf8ff0446af3e2e18,24903031,3,2017-07-23
0c154d3717b690fbf8ff0446af3e2e18,28449207,5,2017-08-23
0c154d3717b690fbf8ff0446af3e2e18,31450852,5,2017-09-12
0c154d3717b690fbf8ff0446af3e2e18,33280872,3,2017-10-04
0c8b333ab702276a0c0367a8bd418b83,20912424,5,2017-08-12
0c8b333ab702276a0c0367a8bd418b83,22918050,4,2017-08-30
0c8b333ab702276a0c0367a8bd418b83,24934065,5,2017-08-19
0cca5a651ecf970849ea845444940e76,4954833,5,2017-09-01
0cd9e33c389f2f056bf10fdb1cc1bfb3,12390650,4,2017-09-09
0cd9e33c389f2f056bf10fdb1cc1bfb3,23308084,4,2017-07-05
0d5a32d652eb344000a3f94d9148617b,16150830,3,2017-09-13
0d71551ddacaa196a921396eb8ae9507,27824826,4,2017-08-28
0de8f73b0e0bd8418203ac1cbf42a9fe,18667945,4,2017-07-21
0de8f73b0e0bd8418203ac1cbf42a9fe,23395680,5,2017-09-02
0e6b9cca5f0b7533b2e53f2d4948366f,25164304,4,2017-07-22
0e6b9cca5f0b7533b2e53f2d4948366f,25558608,3,2017-07-08
0ebf808de2ab1e37f5c69c045f17a309,18692431,3,2017-09-27
0ebf808de2ab1e37f5c69c045f17a309,27833670,3,2017-08-20
0ebf808de2ab1e37f5c69c045f17a309,32768522,4,2017-08-11
0efb80afd2f152568ebc8189bf31797d,42899,4,2017-07-09
0efb80afd2f152568ebc8189bf31797d,15839984,3,2017-08-11
0efb80afd2f152568ebc8189bf31797d,17167166,5,2017-08-12
0efb80afd2f152568ebc8189bf31797d,18006496,5,2017-09-01
0efb80afd2f152568ebc8189bf31797d,20613470,5,2017-09-01
0efb80afd2f152568ebc8189bf31797d,26073150,5,2017-07-17
0efb80afd2f152568ebc8189bf31797d,28260587,5,2017-09-23
0efb80afd2f152568ebc8189bf31797d,29283884,5,2017-07-08
0efb80afd2f152568ebc8189bf31797d,31450852,5,2017-09-30
0efb80afd2f152568ebc8189bf31797d,32796253,5,2017-08-14
0f37b0fb7291b75475466f965aa2c144,15776309,3,2017-07-04
0f37b0fb7291b75475466f965aa2c144,25005214,3,2017-08-26
0f37b0fb7291b75475466f965aa2c144,30821598,4,2017-07-12
0f3f0182afb735698bd5a9bc36a2b5b0,6587387,4,2017-07-01
0f3f0182afb735698bd5a9bc36a2b5b0,8087906,5,2017-07-17
0f3f0182afb735698bd5a9bc36a2b5b0,9627755,4,2017-09-12
0f3f0182afb735698bd5a9bc36a2b5b0,13413589,5,2017-07-19
0f3f0182afb735698bd5a9bc36a2b5b0,17562900,5,2017-07-30
0f3f0182afb735698bd5a9bc36a2b5b0,17883441,5,2017-08-11
0f3f0182afb735698bd5a9bc36a2b5b0,20958632,4,2017-10-17
0f3f0182afb735698bd5a9bc36a2b5b0,22295304,4,2017-08-17
0f3f0182afb735698bd5a9bc36a2b5b0,25614492,5,2017-09-19
0f3f0182afb735698bd5a9bc36a2b5b0,28187230,4,2017-10-06
0f3f0182afb735698bd5a9bc36a2b5b0,28458598,4,2017-07-12
0f692fbb23a3129bed9700ba96c77e21,20764879,5,2017-07-10
0f692fbb23a3129bed9700ba96c77e21,24473763,3,2017-08-23
0f692fbb23a3129bed9700ba96c77e21,28449207,1,2017-09-29
0f692fbb23a3129bed9700ba96c77e21,29939230,3,2017-07-14
0f692fbb23a3129bed9700ba96c77e21,31450852,5,2017-10-04
0fc557fa55cf2cd88d16ba1e5a2e934d,7445,4,2017-09-06
0fc557fa55cf2cd88d16ba1e5a2e934d,16171291,3,2017-09-26
0fc557fa55cf2cd88d16ba1e5a2e934d,26245850,3,2017-08-17
0fc557fa55cf2cd88d16ba1e5a2e934d,27161156,4,2017-10-14
